Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
Sanjib Banerjee,male,1961-02-11T00:00:00Z,West Bengal,Not Available,2006-06-22T00:00:00Z,2023-11-01T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,No,"St.Xaviers;St.Pauls, Darj",University of Calcutta,Economics,University of Calcutta,1986,1990,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
Satish Kumar Agnihotri,male,1956-06-30T00:00:00Z,Madhya Pradesh,Sidhi district,2005-05-05T00:00:00Z,2018-06-30T00:00:00Z,No,No,Chhattisgarh,Yes,Madras,2013-09-26T00:00:00Z,Sikkim,2016-05-23T00:00:00Z,Not Applicable,Not Applicable,Yes,Sikkim,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Not Available,"APS Univ, Rewa",History,Delhi University,1982,1982,Delhi,No,Yes,No,,2005-05-05 00:00:00+00:00
Senthilkumar Ramamoorthy,male,1966-10-02T00:00:00Z,Not Applicable,Not Applicable,2019-02-22T00:00:00Z,2028-10-01T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,Yes,Yes,Not Available,Madras Law College,Not Available,Madras Law College,1990,1990,tamil nadu,No,No,Yes,,2019-02-22 00:00:00+00:00
Shamuga Kannamal,female,1960-07-18T00:00:00Z,Tamil Nadu,Udumalpet,2020-12-03T00:00:00Z,2022-07-19T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,"Govt High School, Udumalpet","Meenakshi Arts Clg Women, Madurai",Science,Coimbatore Law Clg,Not Available,1986,tamil nadu,No,No,Yes,,2020-12-03 00:00:00+00:00
Shunmugavel Palanivelu,male,1955-05-11T00:00:00Z,Tamil Nadu,Tirunelveli,2007-03-22T00:00:00Z,2017-05-10T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1981,Tamil Nadu,No,No,Yes,,2007-03-22 00:00:00+00:00
S. M. Subramaniam,male,1965-05-31T00:00:00Z,Not Applicable,Not Applicable,2016-10-05T00:00:00Z,2027-05-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Not Available,Not Available,1991,1991,tamil nadu,No,No,No,,2016-10-05 00:00:00+00:00
S. S. Sundar,male,1963-05-03T00:00:00Z,Tamil Nadu,Kootampuli,2006-04-07T00:00:00Z,2025-05-02T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,Not Available,"St Xavier's,Pallayamkottai",Science,Madras Law College,1987,1988,Tamil Nadu,No,No,No,,2006-04-07 00:00:00+00:00
Subramoniam Male,male,1967-06-22T00:00:00Z,Not Applicable,Not Applicable,2018-06-04T00:00:00Z,2029-06-21T00:00:00Z,No,No,Madras,Yes,Delhi,2020-03-13T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Delhi university,Commerce,CLC Delhi,1990,Not Available,Not Available,No,No,No,,2018-06-04 00:00:00+00:00
Sudhanshu Mukhopadhaya,male,1950-03-15T00:00:00Z,Not Applicable,Not Applicable,1994-11-08T00:00:00Z,2015-03-14T00:00:00Z,No,No,Patna,Yes,Jharkhand,2000-11-15T00:00:00Z,Madras,2006-08-31T00:00:00Z,Not Applicable,Not Applicable,Yes,Gujarat,Not Applicable,Not Applicable,Yes,2011-09-13T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Magadh University,Science,Patna University,1979,1979,Bihar,No,No,No,,1994-11-08 00:00:00+00:00
T. Krishnavalli,female,1959-09-28T00:00:00Z,Tamil Nadu,Tirnulveli,2017-12-01T00:00:00Z,2021-09-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,"Chatram HSC, Kadayam","Parasakthi Womens Clg, Courtallam",Arts,Madurai Law College,Not Available,1985,Tamil Nadu,No,No,No,,2017-12-01 00:00:00+00:00
T. Mathivanan,male,1955-05-28T00:00:00Z,Not Applicable,Not Applicable,2010-02-17T00:00:00Z,2017-05-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,Not Available,Tamil Nadu,No,No,Yes,,2010-02-17 00:00:00+00:00
T. Raja,male,1961-05-25T00:00:00Z,Tamil Nadu,"Thenur, Madura",2009-03-31T00:00:00Z,2023-05-24T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,Yes,No,No,Yes,"Pasumala School, Madurai",MSS Wakf; Madurai Clg,Arts,Govt Law Clg Madurai,Not Available,1988,Tamil Nadu,No,Yes,No,,2009-03-31 00:00:00+00:00
T. Ravindran,male,1959-06-30T00:00:00Z,Tamil Nadu,Chennai,2016-10-05T00:00:00Z,2021-06-29T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,Yes,"Ramakrishna Mission, Chennai","New College, Chennai",Science,Madras Law College,Not Available,1983,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
T. S. Sivagnanam,male,1963-09-16T00:00:00Z,Tamil Nadu,Chennai,2009-03-31T00:00:00Z,2025-09-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,Not Available,Loyola Chennai,Science,Madras Law College,Not Available,1986,Tamil Nadu,No,No,No,,2009-03-31 00:00:00+00:00
T. V. Thamilselvi,female,1968-06-19T00:00:00Z,Tamil Nadu,Erode,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,No,No,No,No,No,"Govt Girls HSC,Perndurai",Pondicherry law clg,Not Available,Pondicherry Law Clg,Not Available,1990,Tamil Nadu,No,No,No,,2020-12-03 00:00:00+00:00
V. Bharathidasan,male,1960-05-07T00:00:00Z,Tamil Nadu,"Pattukotai,thanjavur",2016-04-07T00:00:00Z,2022-05-06T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Panchayat Union Elementary School and Government High School at Alathur Village,Loyola Chennai,Not Available,Madras Law College,1985,1985,Tamil Nadu,No,No,No,,2016-04-07 00:00:00+00:00
V. Bhavani Subbaroyan,female,1963-05-17T00:00:00Z,Tamil Nadu,Thanjavur,2017-06-28T00:00:00Z,2025-05-16T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,Yes,"Presidency Girls HSC, Chennai","Queens Mary Clg, Chennai",Science,Madras Law College,1986,1986,Tamil Nadu,No,No,Yes,,2017-06-28 00:00:00+00:00
V. Parthiban,male,1960-04-24T00:00:00Z,Tamil Nadu,Cuddalore,2016-10-05T00:00:00Z,2022-04-23T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,Yes,Not Available,Madras Christian College,Arts,Madras Law College,1985,1986,Tamil Nadu,No,No,No,,2016-10-05 00:00:00+00:00
V. Sivagnanam,male,1963-06-01T00:00:00Z,tamil Nadu,Mayiladuthurai,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Kuthalam Govt HSC,"AVC Clg, Mayiladuthurai",Not Available,"Govt Law clg, Pondi",Not Available,Not Available,Tamil Nadu,No,No,No,,2020-12-03 00:00:00+00:00
V. Ramasubramanian,male,1958-06-30T00:00:00Z,Not Applicable,Not Applicable,2006-07-31T00:00:00Z,2023-06-29T00:00:00Z,No,No,Madras,Yes,Andhra Pradesh,2016-04-27T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Himachal Pradesh,Not Applicable,Not Applicable,Yes,2019-09-23T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Not Available,"Ramakrishna Mission, Vivekananda College, Chennai",Chemistry,Madras Law College,1983,1983,Tamil Nadu,No,No,No,,2006-07-31 00:00:00+00:00
V. S. Ravi,male,1954-05-20T00:00:00Z,Not Applicable,Not Applicable,2013-10-25T00:00:00Z,2016-05-19T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1978,tamil Nadu,No,No,No,,2013-10-25 00:00:00+00:00
Velu Dhanapalan,male,1953-06-01T00:00:00Z,Tamil Nadu,Not Available,2005-12-10T00:00:00Z,2015-05-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1983,Tamil Nadu,No,No,Yes,,2005-12-10 00:00:00+00:00
Vijaya Tehsilramani,female,1958-10-03T00:00:00Z,Maharashtra,Mumbai,2001-06-26T00:00:00Z,2019-09-06T00:00:00Z,No,Yes,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Arts,Not Available,Not Available,1982,Maharashtra and Goa,No,No,Yes,,2001-06-26 00:00:00+00:00
V. M. Velumani,female,1962-04-06T00:00:00Z,Not Applicable,Not Applicable,2013-12-20T00:00:00Z,2024-04-05T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Not Available,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1989,Tamil Nadu,No,No,No,,2013-12-20 00:00:00+00:00
Lanusungkum Jamir,male,1964-03-01T00:00:00Z,Nagaland,Impuh,2013-05-22T00:00:00Z,2026-02-28T00:00:00Z,No,No,Gauhati,Yes,Manipur,2018-10-06T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,History,North Eastern Hill University,1988,1989,"Assam,Nagaland,Manipur,Meghalaya and Tripura",No,No,No,,2013-05-22 00:00:00+00:00
Abhay Manohar Sapre,male,1954-08-28T00:00:00Z,Madhya Pradesh,Seoni,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-11T00:00:00Z,Chattisgarh,2012-04-23T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Gauhati,Not Applicable,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Model High School , Jabalpur",Government Arts College,Not Available,Rani Durgavati Vishwavidyalaya,1978,1978,Madhya Pradesh,No,No,No,,1999-10-25 00:00:00+00:00
Laxmi Mohapatra,male,1954-06-10T00:00:00Z,Odisha,Cuttuck,1999-09-16T00:00:00Z,2016-06-09T00:00:00Z,No,No,Orissa,Yes,Allahabad,2012-10-17T00:00:00Z,Manipur,2013-10-20T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,Yes,No,Not Available,Not Available,Not Available,M S Law College,1977,1978,Odisha,No,No,No,,1999-09-16 00:00:00+00:00
Nongmeikapam Singh,male,1963-03-01T00:00:00Z,Manipur,Imphal,2011-10-17T00:00:00Z,2025-02-28T00:00:00Z,No,No,Gauhati,Yes,Manipur,2013-03-23T00:00:00Z,Gauhati,2018-10-11T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Ramakrishna Mission Vidyapith,Kirori Mal College,Political Science,Delhi University,1986,1986,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim.",Yes,No,No,,2011-10-17 00:00:00+00:00
Rakesh Ranjan Prasad,male,1955-07-01T00:00:00Z,Bihar,Not Available,2006-02-09T00:00:00Z,2017-06-30T00:00:00Z,No,No,Jharkhand,Yes,Manipur,2016-02-01T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Science,Patna Law College,1980,1980,Bihar,No,No,No,,2006-02-09 00:00:00+00:00
Ramalingam Sudhakar,male,1959-02-14T00:00:00Z,Tamil Nadu,Panapakkam Village,2005-12-10T00:00:00Z,2021-02-13T00:00:00Z,No,No,Madras,Yes,J&K and Ladakh,2016-04-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Don Bosco Matriculation School,Loyola College,Life sciences,Madras Law College,1983,1983,Tamil Nadu and Puducherry,No,No,No,,2005-12-10 00:00:00+00:00
Ahanthem Singh,male,1966-02-01T00:00:00Z,Manipur,Imphal,2020-03-18T00:00:00Z,2028-01-31T00:00:00Z,No,No,Manipur,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,1994,1994,"Assam,Nagaland,Manipur,Meghalaya and Tripura",No,No,No,,2020-03-18 00:00:00+00:00
M. V. Muralidaran,male,1962-04-16T00:00:00Z,Tamil Nadu,Maniampattu Village,2016-04-07T00:00:00Z,2024-04-15T00:00:00Z,No,No,Madras,Yes,Manipur,2019-03-17T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Political Science,Not Available,1988,1990,Tamil Nadu and Puducherry,No,Yes,No,,2016-04-07 00:00:00+00:00
Songkhupchung Serto,male,1961-03-01T00:00:00Z,Manipur,Sagang Village,2016-03-14T00:00:00Z,2023-02-28T00:00:00Z,No,No,Manipur,Yes,Gauhati,2016-09-29T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,St. Anthony’s College,Not Available,"Law Faculty, Delhi University",1986,1986,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim.",No,No,No,,2016-03-14 00:00:00+00:00
Kh. Nobin Singh,male,1960-01-01T00:00:00Z,Manipur,Awang Sekmai,2014-11-26T00:00:00Z,2021-12-31T00:00:00Z,No,No,Manipur,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,D.M.College,Not Available,Delhi University,1984,1984,"Assam,Nagaland,Manipur,Meghalaya and Tripura",No,No,No,,2014-11-26 00:00:00+00:00
Puligoru Venkata Sanjay Kumar,male,1963-08-14T00:00:00Z,Andhra Pradesh,Hyderabad,2008-08-08T00:00:00Z,2025-02-13T00:00:00Z,No,No,Andhra Pradesh,Yes,Telengana,2019-01-01T00:00:00Z,Punjab and Haryana,2019-10-14T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Nizam College,commerce,Delhi University,1988,1988,Andhra Pradesh,No,No,No,,2008-08-08 00:00:00+00:00
Abhilasha Kumari,female,1956-02-23T00:00:00Z,Delhi,Delhi,2005-12-02T00:00:00Z,2018-02-22T00:00:00Z,No,No,Himachal Pradesh,Yes,Gujrat,2006-01-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Loreto Convent,"Indraprastha College, Delhi University.",English,Himachal Pradesh University.,1984,1984,Himanchal Pradesh,No,No,No,,2005-12-02 00:00:00+00:00
Ajay Kumar Mittal,male,1958-09-30T00:00:00Z,Chandigarh,Chandigarh,2004-01-09T00:00:00Z,2020-09-29T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Madhya Pradesh,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Sri Ram College of Commerce, Delhi University",Commerce (Hons.),"Faculty of Law, Delhi University",1980,1980,Punjab and Haryana,No,No,No,,2004-01-09 00:00:00+00:00
Biswanath Somadder,male,1963-12-15T00:00:00Z,West Bengal,Calcutta,2006-06-22T00:00:00Z,2025-12-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2019-10-17T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Sikkim,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"La Martiniere for Boys School, Calcutta",University Of Calcutta,Arts,University of Calcutta,Not Available,1989,West Bengal,No,No,No,,2006-06-22 00:00:00+00:00
Dinesh Maheshwari,male,1958-04-15T00:00:00Z,Rajasthan,Udaipur,2004-09-02T00:00:00Z,2023-05-14T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,2014-07-19T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Karnataka,Not Applicable,Yes,2019-01-18T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Maharaja College, Rajasthan University",Science (Hons.),Jodhpur University,1980,1981,Rajasthan,No,No,No,,2004-09-02 00:00:00+00:00
Hamarsan Singh Thangkhiew,male,1966-12-24T00:00:00Z,Meghalaya,Shillong,2018-11-19T00:00:00Z,2028-12-23T00:00:00Z,No,No,Meghalaya,Yes,Madras,1998-03-23T00:00:00Z,Andhra Pradesh,2001-09-05T00:00:00Z,Patna,2010-10-27T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"St. Edmund's College, Shillong","St. Edmund’s College, Shillong",Not Available,Delhi University,1990,1991,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No,,2018-11-19 00:00:00+00:00
Mohammad Rafiq,male,1960-05-25T00:00:00Z,Rajasthan,"Sujangarh, Charu",2006-05-15T00:00:00Z,2022-05-24T00:00:00Z,No,No,Rajasthan,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Orissa,Madhya Pradesh,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,University of Rajasthan,Commerce (Hons.),University of Rajasthan,1984,1984,Rajasthan,No,Yes,No,,2006-05-15 00:00:00+00:00
Mohammad Mir,male,1957-05-28T00:00:00Z,Jammu & Kashmir,Pulwama,2007-11-23T00:00:00Z,2019-05-27T00:00:00Z,No,No,J&K and Ladakh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Kashmir University,Not Available,1981,Jammu & Kashmir,No,No,No,,2007-11-23 00:00:00+00:00
Prafulla Chandra Pant,male,1952-08-30T00:00:00Z,Uttarakhand,Pithorgarh,2004-06-29T00:00:00Z,2017-08-29T00:00:00Z,No,No,Uttarakhand,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Not Applicable,Not Applicable,Yes,2014-08-13T00:00:00Z,Service,Yes,Yes,No,Yes,No,No,No,No,No,Pithorgarh,Allahabad University,Science,Lucknow University,Not Available,1973,Uttar Pradesh,No,No,No,,2004-06-29 00:00:00+00:00
Ranjit More,male,1959-11-04T00:00:00Z,Maharashtra,"Nimsod, Tq. Khatau, Satara",2006-09-08T00:00:00Z,2021-11-03T00:00:00Z,No,No,Bombay,Yes,Uttarakhand,2020-03-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Meghalaya,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,"Nimsod, Satara",Kolhapur,Arts (Hons.),"Shivaji University, Kolhapur",Not Available,1983,Maharashtra & Goa,No,No,Yes,,2006-09-08 00:00:00+00:00
Sudip Ranjan Sen,male,1957-03-09T00:00:00Z,Meghalaya,Shillong,2012-02-06T00:00:00Z,2019-03-08T00:00:00Z,No,No,Gauhati,Yes,Meghalaya,2013-03-23T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Shillong,Shillong,Arts,Shillong Law College,Not Available,1989,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No,,2012-02-06 00:00:00+00:00
